Code,City,Airport,Country
GBO,Baltimore (MD),Baltimore Greenbelt T,USA
GBP,Gamboola,Gamboola,Australia
GBR,Great Barrington (MA),Great Barrington,USA
GBS,Port Fitzroy,Port Fitzroy,New Zealand
GBU,Khashm El Girba,Khashm El Girba,Sudan
GBV,Gibb River,Gibb River,Australia
GBZ,Great Barrier Island,Great Barrier Island,New Zealand
GCA,Guacamaya,Guacamaya,Colombia
GCC,Gillette (WY),Campbell County,USA
GCI,Guernsey,Guernsey,Channel Island (UK)
GCJ,Johannesburg,Grand Central,South Africa
GCK,Garden City (KS),Municipal Airport,USA
GCM,Grand Cayman Island,Owen Roberts International,Cayman Islands
GCN,Grand Canyon (AZ),National Park,USA
GCV,Gravatai,Gravatai,Brazil
GCY,Greenville (TN),Municipal,USA
GDA,Gounda,Gounda,Central African Republic
GDC,Greenville (SC),Donaldson Center,USA
GDC,Greer (SC),Donaldson Center,USA
GDD,Gordon Downs,Gordon Downs,Australia
GDE,Gode/Iddidole,Gode/Iddidole,Ethiopia
GDG,Magdagachi,Magdagachi,Russia
GDH,Golden Horn (AK),SPB,USA
GDI,Gordil,Gordil,Central African Republic
GDJ,Gandajika,Gandajika,Congo (DRC)
GDL,Guadalajara,Miguel Hidal,Mexico
GDM,Gardner (MA),Municipal,USA
GDN,Gdansk,Rebiechowo,Poland
GDO,Guasdualito,Vare Maria,Venezuela
GDP,Guadalupe,Guadalupe,Brazil
GDQ,Gondar,Gondar,Ethiopia
GDT,Grand Turk Island,Grand Turk Island,Turks and Caicos
GDV,Glendive (MT),Dawson Community,USA
GDW,Gladwin (MI),Gladwin,USA
GDX,Magadan,Magadan,Russia
GDZ,Gelendzik,Gelendzik,Russia
GEA,Noumea,Magenta,New Caledonia
GEB,Gebe,Gebe,Indonesia
GEC,Gecitkale,Gecitkale,Cyprus
GED,Georgetown (DE),Sussex County,USA
GEE,George Town,George Town,Australia
GEF,Geva,Geva Airstrip,Solomon Islands
GEG,Spokane (WA),International,USA
GEI,Green Islands,Green Islands,Papua New Guinea
GEK,Ganes Creek (AK),Ganes Creek,USA
GEL,Santo Angelo,Sepe Tiaraju,Brazil
GEO,Georgetown,Cheddi Jagan International,Guyana
GER,Nueva Gerona,Rafael Cabrera,Cuba
GES,General Santos,Buayan,Philippines
GET,Geraldton,Geraldton,Australia
GEV,Gallivare,Gallivare,Sweden
GEW,Gewoia,Gewoia,Papua New Guinea
GEX,Geelong,Geelong,Australia
GEY,Greybull (WY),South Big Horn County,USA
GFA,Great Falls (MT),Malmstrom AFB,USA
GFB,Togiak Fish (AK),Togiak Fish,USA
GFD,Greenfield (IN),Pope Field,USA
GFE,Grenfell,Grenfell,Australia
GFF,Griffith,Griffith,Australia
GFK,Grand Forks (ND),Grand Forks,USA
GFL,Glens Falls (NY),Warren County,USA
GFN,Grafton,Grafton,Australia
GFO,Bartica,Bartica,Guyana
GFR,Granville,Granville,France
GFY,Grootfontein,Grootfontein,Namibia
GGC,Lumbala,Lumbala,Angola
GGD,Gregory Downs,Gregory Downs,Australia
GGE,Georgetown (SC),Georgetown,USA
GGG,Longview (TX),Gregg County Airport,USA
GGL,Gilgal,Gilgal,Colombia
GGN,Gagnoa,Gagnoa,Cote d'Ivoire
GGO,Guiglo,Guiglo,Cote d'Ivoire
GGR,Garoe,Garoe,Somalia
GGS,Gobernador Gregores,Gobernador Gregores,Argentina
GGT,George Town,Exuma International,Bahamas
GGW,Glasgow (MT),International,USA
GHA,Ghardaia,Noumerate,Algeria
GHB,Governors Harbour,Governors Harbour,Bahamas
GHC,Great Harbour,Great Harbour,Bahamas
GHD,Ghimbi,Ghimbi,Ethiopia
GHE,Garachine,Garachine,Panama
GHF,Giebelstadt,Giebelstadt,Germany
GHK,Gush Katif,Gush Katif,Israel
GHM,Centerville (TN),Municipal,USA
GHN,Guanghan,Guanghan,PR China
GHT,Ghat,Ghat,Libya
GHU,Gualeguaychu,Gualeguaychu,Argentina
GIB,Gibraltar,North Front,Gibraltar
GIC,Boigu Island,Boigu Island,Australia
GID,Gitega,Gitega,Burundi
GIF,Winter Haven (FL),Winter Haven's Gilbert Airport,USA
GIG,Rio De Janeiro,Internacional,Brazil
GII,Siguiri,Siguiri,Guinea
GIL,Gilgit,Gilgit,Pakistan
GIM,Miele Mimbale,Miele Mimbale,Gabon
GIR,Girardot,Girardot,Colombia
GIS,Gisborne,Gisborne,New Zealand
GIT,Geita,Geita,Tanzania
GIY,Giyani,Giyani,South Africa
GIZ,Gizan,Gizan,Saudi Arabia
GJA,Guanaja,Guanaja,Honduras
GJL,Jijel,Jijel,Algeria
GJM,Guajara-Mirim,Guajara-Mirim,Brazil
GJR,Gjogur,Gjogur,Iceland
GJT,Grand Junction (CO),Walker Field,USA
GKA,Goroka,Goroka,Papua New Guinea
GKE,Geilenkirchen,Geilenkirchen,Germany
GKH,Gorkha,Gorkha,Nepal
GKL,Great Keppel Island,Great Keppel Island,Australia
GKN,Gulkana (AK),Gulkana,USA
GKO,Kongoboumba,Kongoboumba,Gabon
GKT,Gatlinburg (TN),Gatlinburg,USA
GLA,Glasgow,Glasgow International,United Kingdom
GLC,Geladi,Geladi,Ethiopia
GLD,Goodland (KS),Renner Field,USA
GLE,Gainesville (TX),Municipal,USA
GLF,Golfito,Golfito,Costa Rica
GLG,Glengyle,Glengyle,Australia
GLH,Greenville (MS),Greenville,USA
GLI,Glen Innes,Glen Innes,Australia
GLK,Galcaio,Galcaio,Somalia
GLL,Gol,Klanten Airport,Norway
GLM,Glenormiston,Glenormiston,Australia
GLN,Goulimime,Goulimime,Morocco
GLO,Gloucester,Gloucestershire,United Kingdom
GLP,Gulgubip,Gulgubip,Papua New Guinea
GLQ,Glennallen (AK),Glennallen,USA
GLR,Gaylord (MI),Otsego County,USA
GLS,Galveston (TX),Scholes Field,USA
GLT,Gladstone,Gladstone,Australia
GLV,Golovin (AK),Golovin,USA
GLW,Glasgow (KY),Municipal,USA
GLX,Galela,Galela,Indonesia
GLY,Goldsworthy,Goldsworthy,Australia
GLZ,Breda,Gilze-Rijen,Netherlands
GMA,Gemena,Gemena,Congo (DRC)
GMB,Gambela,Gambela,Ethiopia
GMC,Guerima,Guerima,Colombia
GME,Gomel,Gomel,Belarus
GMI,Gasmata Island,Gasmata Island,Papua New Guinea
GMM,Gamboma,Gamboma,Congo (ROC)
GMN,Greymouth,Greymouth,New Zealand
GMP,Seoul,Gimpo International,South Korea
GMR,Gambier Is,Gambier Is,French Polynesia
GMS,Guimaraes,Guimaraes,Brazil
GMT,Granite Mountain (AK),Granite Mountain,USA
GMU,Greenville (SC),Downtown,USA
GMU,Greer (SC),Downtown,USA
GMV,Goulding (UT),Monument Valley,USA
GMY,Rheindahlen,Rheindahlen,Germany
GMZ,San Sebas de la Gomera,La Gomera,"Canary Islands, Spain"
GNA,Grodna,Grodna,Belarus
GNB,Grenoble,Saint Geoirs,France
GND,Grenada,Point Saline International,Grenada
GNE,Ghent,Ghent,Belgium
GNG,Gooding (ID),Gooding,USA
GNI,Green Island,Green Island,Taiwan
GNM,Guanambi,Guanambi,Brazil
GNN,Ghinnir,Ghinnir,Ethiopia
GNR,General Roca,General Roca,Argentina
GNS,Gunungsitoli,Gunungsitoli,Indonesia
GNT,Grants (NM),Milan,USA
GNU,Goodnews Bay (AK),Goodnews Bay,USA
GNV,Gainesville (FL),J R Alison Municipal,USA
GNZ,Ghanzi,Ghanzi,Botswana
GOA,Genoa,Cristoforo Colombo,Italy
GOB,Goba,Goba,Ethiopia
GOC,Gora,Gora,Papua New Guinea
GOE,Gonalia,Gonalia,Papua New Guinea
GOF,San Angelo (TX),Goodfellow AFB,USA
GOG,Gobabis,Gobabis,Namibia
GOH,Nuuk,Nuuk,Greenland
GOI,Goa,Dabolim Airport,India
GOJ,Nizhniy Novgorod,Strigino International Airport,Russia
GOK,Guthrie (OK),Guthrie,USA
GOL,Gold Beach (OR),State,USA
GOM,Goma,Goma,Congo (DRC)
GON,Groton (CT),Groton-New London Airport,USA
GON,Groton (CT),New London,USA
GON,New London (CT),Groton-New London,USA
GON,New London (CT),New London,USA
GOO,Goondiwindi,Goondiwindi,Australia
GOP,Gorakhpur,Gorakhpur,India
GOQ,Golmud,Golmud,PR China
GOR,Gore,Gore,Ethiopia
GOS,Gosford,Gosford,Australia
GOT,Gothenburg,Landvetter,Sweden
GOU,Garoua,Garoua,Cameroon
GOV,Gove,Nhulunbuy,Australia
GOY,Gal Oya,Amparai,Sri Lanka
GOZ,Gorna Orechovitsa,Gorna Orechovitsa,Bulgaria
GPA,Patras,Araxos Airport,Greece
GPB,Guarapuava,Tancredo Thomaz Faria,Brazil
GPI,Guapi,Guapi,Colombia
GPL,Guapiles,Guapiles,Costa Rica
GPN,Garden Point,Garden Point,Australia
GPO,General Pico,General Pico,Argentina
GPS,Galapagos Is,Baltra,Ecuador
GPT,Gulfport (MS),Biloxi Regional,USA
GPZ,Grand Rapids (MN),Grand Rapids,USA
GQJ,Machrihanish,RAF Station,United Kingdom
GQQ,Galion (OH),Galion,USA
GRA,Gamarra,Gamarra,Colombia
GRB,Green Bay (WI),Austin-Straubel Field,USA
GRC,Grand Cess,Grand Cess,Liberia
GRD,Greenwood (SC),Greenwood,USA
GRE,Greenville (IL),Municipal,USA
GRF,Tacoma (WA),Gray AAF,USA
GRG,Gardez,Gardez,Afghanistan
GRH,Garuahi,Garuahi,Papua New Guinea
GRI,Grand Island (NE),Grand Island,USA
GRJ,George,George,South Africa
GRK,Killeen (TX),Gray AAF,USA
GRL,Garasa,Garasa,Papua New Guinea
GRM,Grand Marais (MN),Grand Marais/Cook County Airport,USA
GRN,Gordon (NE),Gordon,USA
GRO,Gerona,Costa Brava,Spain
GRP,Gurupi,Gurupi,Brazil
GRQ,Groningen,Eelde,Netherlands
GRR,Grand Rapids (MI),Kent County International,USA
GRS,Grosseto,Baccarini,Italy
GRT,Gujrat,Gujrat,Pakistan
GRU,Sao Paulo,Guarulhos International,Brazil
GRV,Groznyj,Groznyj,Russia
GRW,Graciosa Island,Graciosa Island,Portugal
GRX,Granada,Granada,Spain
GRY,Grimsey,Grimsey,Iceland
GRZ,Graz,Thalerhof,Austria
GSA,Long Pasia,Long Pasia,Malaysia
GSB,Goldsboro (NC),Seymour Johnson AFB,USA
GSC,Gascoyne Junction,Gascoyne Junction,Australia
GSE,Gothenburg,Saeve,Sweden
GSH,Goshen (IN),Goshen,USA
GSI,Guadalcanal,Guadalcanal,Solomon Islands
GSL,Taltheilei Narrows,Taltheilei Narrows,Canada
GSM,Gheshm,Gheshm,Iran
GSN,Mount Gunson,Mount Gunson,Australia
GSO,Greensboro/Winston Salem (NC),Piedmont Triad International Airport,USA
GSP,Greer (SC),Greenville-Spartanbur Airport,USA
GSQ,Shark Elowainat,Shark Elowainat,Egypt
GSR,Gardo,Gardo,Somalia
GSS,Sabi Sabi,Sabi Sabi,South Africa
GST,Gustavus (AK),Gustavus Airport,USA
GSU,Gedaref,Gedaref,Sudan
GSY,Grimsby,Binbrook,United Kingdom
GTA,Gatokae,Gatokae Aerodrom,Solomon Islands
GTB,Genting,Genting,Malaysia
GTC,Green Turtle,Green Turtle,Bahamas
GTE,Groote Eylandt,Alyangula,Australia
GTF,Great Falls (MT),International,USA
GTG,Grantsburg (WI),Municipal,USA
GTI,Guettin,Guettin,Germany
GTK,Sungei Tekai,Sungei Tekai,Malaysia
GTN,Mount Cook,Glentanner,New Zealand
GTO,Gorontalo,Tolotio,Indonesia
GTR,Columbus (MS),Golden Triangle Reg.,USA
GTS,Granites,Granites,Australia
GTT,Georgetown,Georgetown,Australia
GTW,Zlin,Holesov,Czech Republic
GTY,Gettysburg (PA),Gettysburg,USA
GUA,Guatemala City,La Aurora,Guatemala
GUB,Guerrero Negro,Guerrero Negro,Mexico
GUC,Gunnison (CO),Gunnison,USA
GUD,Goundam,Goundam,Mali
GUE,Guriaso,Guriaso,Papua New Guinea
GUF,Gulf Shores (AL),Edwards,USA
GUG,Guari,Guari,Papua New Guinea
GUH,Gunnedah,Gunnedah,Australia
GUI,Guiria,Guiria,Venezuela
GUJ,Guaratingueta,Guaratingueta,Brazil
GUL,Goulburn,Goulburn,Australia
GUM,Guam,A.B. Won Pat International,Guam
GUN,Montgomery (AL),Gunter AFB,USA
GUO,Gualaco,Gualaco,Honduras
GUP,Gallup (NM),Senator Clark,USA
GUQ,Guanare,Guanare,Venezuela
GUR,Alotau,Gurney,Papua New Guinea
GUS,Peru (IN),Grissom AFB,USA
GUT,Guetersloh,Guetersloh,Germany
GUU,Grundarfjordur,Grundarfjordur,Iceland
GUV,Mougulu,Mougulu,Papua New Guinea
GUW,Atyrau,Atyrau,Kazakhstan
GUX,Guna,Guna,India
GUY,Guymon (OK),Guymon,USA
GUZ,Guarapari,Guarapari,Brazil
GVA,Geneva,Geneve-Cointrin,Switzerland
GVE,Gordonsville (VA),Municipal,USA
GVI,Green River,Green River,Papua New Guinea
GVL,Gainesville (GA),Lee Gilmer Memorial,USA
GVP,Greenvale,Greenvale,Australia
GVR,Governador Valadares,Governador Valadares,Brazil
GVT,Greenville (TX),Majors Field,USA
GVW,Grandview (MO),Richards-Gebaur,USA
GVX,Gavle,Sandviken,Sweden
GWA,Gwa,Gwa,Myanmar
GWD,Gwadar,Gwadar,Pakistan
GWE,Gweru,Gweru,Zimbabwe
GWL,Gwalior,Gwalior,India
GWN,Gnarowein,Gnarowein,Papua New Guinea
GWO,Greenwood (MS),Leflore,USA
GWS,Glenwood Springs (CO),Glenwood Springs,USA
GWT,Westerland,Sylt Airport,Germany
GWV,Glendale (WV),Glendale,USA
GWW,Berlin,RAF Gatow (former British Royal Air Force airfield),Germany
GWY,Galway,Carnmore,Ireland
GXF,Seiyun,Seiyun,Yemen
GXG,Negage,Negage,Angola
GXH,Mildenhall,NAF,United Kingdom
GXQ,Coyhaique,Ten. Vidal,Chile
GXX,Yagoua,Yagoua,Cameroon
GXY,Greeley (CO),Weld County,USA
GYA,Guayaramerin,Guayaramerin,Bolivia
GYE,Guayaquil,Simon Bolivar,Ecuador
GYI,Gisenyi,Gisenyi,Rwanda
GYL,Argyle,Argyle,Australia
GYM,Guaymas,Gen Jose M Yanez,Mexico
GYN,"Goiania, Santa Genoveva Airport",Santa Genoveva,Brazil
GYP,Gympie,Gympie,Australia
GYR,Goodyear (AZ),Litchfield,USA
GYS,Guang Yuan,Guang Yuan,PR China
GYY,Chicago (IL),Gary Regional,USA
GYY,Gary (IN),Regional,USA
GZA,Gaza City,Gaza International Airport,Palestinian Territory
GZI,Ghazni,Ghazni,Afghanistan
GZM,Gozo,Gozo,Malta
GZO,Gizo,Gizo,Solomon Islands
GZT,Gaziantep,Gaziantep,Turkey
HAA,Hasvik,Hasvik Airport,Norway
HAB,Hamilton (AL),Marion County – Rankin Fite Airport,USA
HAC,Hachijo Jima,Hachijo Jima,Japan
HAD,Halmstad,Halmstad,Sweden
HAE,Havasupai (AZ),Havasupai,USA
HAF,Half Moon (CA),Half Moon,USA
HAG,The Hague,Metropolitan Area,Netherlands
HAH,Moroni,Prince Said Ibrahim In,Comoros
HAI,Three Rivers (MI),Dr Haines,USA
HAJ,Hanover,Hannover-Langenhagen Airport,Germany
HAK,Haikou,Haikou,PR China
HAL,Halali,Halali,Namibia
HAM,Hamburg,Fuhlsbuettel,Germany
HAN,Hanoi,Noibai,Viet Nam
HAO,Hamilton (OH),Hamilton,USA
HAP,Long Island,Long Island,Australia
HAQ,Hanimaadhoo,Hanimaadhoo,Maldives
HAR,Harrisburg (PA),Harrisburg Skyport,USA
HAS,Hail,Hail,Saudi Arabia
HAT,Heathlands,Heathlands,Australia
HAU,Haugesund,Haugesund,Norway
HAV,Havana,Jose Marti International,Cuba
HAW,Haverfordwest,Haverfordwest,United Kingdom
HAX,Muskogee (OK),Hatbox Field,USA
HAY,Haycock (AK),Haycock,USA
HAZ,Hatzfeldthaven,Hatzfeldthaven,Papua New Guinea
HBA,Hobart,Hobart,Australia
HBB,Hobbs (NM),Industrial Airpark,USA
HBC,Hanus Bay (AK),Hanus Bay,USA
HBD,Habi,Habi,Papua New Guinea
HBE,Borg El Arab,Borg El Arab Airport,Egypt
HBG,Hattiesburg (MS),Bobby L. Chain Mun.,USA
HBH,Hobart Bay (AK),Hobart Bay,USA
HBI,Harbour Island,Harbour Island,Bahamas
HBL,Babelegi,Heliport,South Africa
HBN,Phu-bon,Phu-bon,Viet Nam
HBO,Humboldt (NE),Municipal,USA
HBR,Hobart (OK),Hobart,USA
HBT,Hafr Albatin,Hafr Albatin,Saudi Arabia
HBX,Hubli,Hubli,India
HCA,Big Spring (TX),Howard County,USA
HCB,Shoal Cove (AK),Shoal Cove,USA
HCC,Hudson (NY),Columbia County,USA
HCM,Eil,Eil,Somalia
HCN,Hengchun,Hengchun,Taiwan
HCQ,Halls Creek,Halls Creek,Australia
HCR,Holy Cross (AK),Holy Cross,USA
HCS,Johannesburg,Randburg Heliport,South Africa
HCW,Cheraw (SC),Cheraw,USA
HDA,Hidden Falls (AK),Hidden Falls,USA
HDB,Heidelberg,Heidelberg,Germany
HDD,Hyderabad,Hyderabad,Pakistan
HDE,Holdrege (NE),Brewster Field,USA
HDF,Heringsdorf,Heringsdorf Airport,Germany
HDH,Oahu (HI),Dillingham Airfield,USA
HDM,Hamadan,Hamadan,Iran
HDN,Hayden (CO),Yampa Valley,USA
HDS,Hoedspruit,Hoedspruit Airport,South Africa
HDY,Hat Yai,Hat Yai,Thailand
HEA,Herat,Herat,Afghanistan
HEB,Henzada,Henzada,Myanmar
HED,Herendeen (AK),Herendeen,USA
HEE,Helena (AR),Thompson-Robbins,USA
HEH,Heho,Heho,Myanmar
HEI,Heide/Buesum,Heide-Büsum Airport,Germany
HEK,Heihe,Heihe,PR China
HEL,Helsinki,Helsinki-Vantaa,Finland
HEM,Helsinki,Helsinki-Malmi,Finland
HEN,Hendon,Hendon,United Kingdom
HEO,Haelogo,Haelogo,Papua New Guinea
HER,Heraklion,Heraklion International “Nikos Kazantzakis”,"Crete, Greece"
HES,Hermiston (OR),Hermiston Municipal Airport,USA
HET,Hohhot,Hohhot,PR China
HEW,Athens,Hellinikon Airport,Greece
HEX,Santo Domingo,Herrera International Airport (closed),Dominican Republic
HEY,Ozark (AL),Hanchey Army Heliport,USA
HEZ,Natchez (MS),Natchez–Adams County Airport,USA
HFA,Haifa,Haifa,Israel
HFD,Hartford (CT),Brainard,USA
HFE,Hefei,Hefei,PR China
HFF,Hoffman (NC),Mackall AAF,USA
HFN,Hornafjordur,Hornafjordur,Iceland
HFS,Hagfors,Hagfors,Sweden
HFT,Hammerfest,Hammerfest,Norway
HGA,Hargeisa,Hargeisa,Somalia
HGD,Hughenden,Hughenden,Australia
HGH,Hangzhou,Hangzhou,PR China
HGL,Helgoland,Heligoland Airport (Helgoland-Düne Airport),"Schleswig-Holstein, Germany"
HGN,Mae Hong Son,Mae Hong Son,Thailand
HGO,Korhogo,Korhogo,Cote d'Ivoire
HGR,Hagerstown (MD),Wash. County Regional,USA
HGS,Freetown,Hastings,Sierra Leone
HGT,Jolon (CA),Hunter AAF,USA
HGU,Mount Hagen,Kagamuga,Papua New Guinea
HGZ,Hogatza (AK),Hogatza,USA
HHA,Huanghua,Changsha Huanghua,PR China
HHE,Hachinohe,Hachinohe,Japan
HHH,Hilton Head (SC),Hilton Head,USA
HHI,Wahiawa (HI),Wheeler AFB,USA
HHN,Frankfurt/Main,Hahn,Germany
HHP,Hong Kong,H K Heliport,"Hong Kong, PR China"
HHQ,Hua Hin,Hua Hin Airport,Thailand
HHR,Hawthorne (CA),Hawthorne,USA
HHZ,Hikueru,Hikueru,French Polynesia
HIB,Hibbing (MN),Chisholm Airport,USA
HIC,Pretoria,Iscor Heliport,South Africa
HID,Horn Island,Horn Island,Australia
HIE,Whitefield (NH),Regional,USA
HIF,Ogden (UT),Hill AFB,USA
HIG,Highbury,Highbury,Australia
HIH,Hook Island,Hook Island,Australia
HII,Lake Havasu City (AZ),Municipal,USA
HIJ,Hiroshima,International,Japan
HIK,Honolulu (HI),Hickam AFB,USA
HIL,Shillavo,Shillavo,Ethiopia
HIN,Chinju,Sacheon,South Korea
HIO,Hillsboro (OR),Portland,USA
